time (h),optical density (OD),lnOD600
0.025525555555555555,0.03347228585313358,-3.397037470508818
0.6473197222222222,0.0053884215254381695,-5.223502789374221
1.1561777777777777,0.014734056572119042,-4.217593691166035
4.308043055555555,0.09223895758386605,-2.3833727042141373
4.751861388888889,0.07075395852670358,-2.6485467931165125
4.762117222222222,0.1041347142747672,-2.2620698884912707
5.2309866666666665,0.10601074355300591,-2.2442148357324267
5.585056666666667,0.12446707199165805,-2.0837140800536202
5.879894722222223,0.13778152819640552,-1.98208597730939
5.883358333333334,0.138829671832868,-1.9745074797438238
6.317403611111111,0.14950437583404305,-1.9004296167868178
6.323521944444445,0.16392098807372826,-1.8083707472894728
6.707529166666666,0.18614068543438259,-1.6812525178719318
6.711875555555555,0.1922242436788504,-1.6490926526334724
7.043676388888889,0.1922242436788504,-1.6490926526334724
7.058704166666667,0.1996588241983656,-1.6111452481107036
7.4620625,0.22154423615375599,-1.5071329976815786
7.465378611111111,0.2322777162150151,-1.459821570561171
7.801610833333333,0.27067776032398605,-1.3068262419098213
8.089205833333333,0.27067776032398605,-1.3068262419098213
8.501658611111111,0.2781736744643938,-1.2795096320637953
8.790764166666667,0.3046091247862903,-1.188725882350297
9.316515833333334,0.346292883413858,-1.0604703781347402
9.695954166666667,0.44282627561354415,-0.8145777402208674
10.059770277777778,0.45111009601581986,-0.7960438539363466
10.072340277777778,0.48317097831645406,-0.7273846955964713
10.426293333333334,0.6339713238823205,-0.4557515560373657
10.980154166666667,0.7188401908501584,-0.3301162118209407
11.626748611111111,0.8839683387206092,-0.1233340329128119
